bucket,n,resolved,rate,ci_lo,ci_hi
<400,3,2,0.6666666666666666,0.2076595988078242,0.9385080559790691
400-499,48,21,0.4375,0.3070126894862085,0.5772498268573516
500-599,31,10,0.3225806451612903,0.18569426482301724,0.49858990830886185
600-799,28,6,0.21428571428571427,0.10212460273388577,0.3953858580886689
800-1199,14,1,0.07142857142857142,0.012722215106604151,0.31468704666737907
1200+,3,1,0.3333333333333333,0.06149194402093078,0.7923404011921757
