group,n,patch_added_mean,patch_added_p50,patch_added_p95,patch_added_max,patch_removed_mean,patch_removed_p50,patch_removed_p95,patch_removed_max,patch_churn_mean,patch_churn_p50,patch_churn_p95,patch_churn_max,patch_hunks_mean,patch_hunks_p50,patch_hunks_p95,patch_hunks_max,patch_files_mean,patch_files_p50,patch_files_p95,patch_files_max
all,128,478.34375,23.5,325.59999999999997,50883.0,120.4453125,2.0,28.64999999999999,8098.0,598.7890625,27.0,332.0999999999999,50885.0,13.4609375,3.0,21.54999999999994,422.0,9.1953125,2.0,9.0,487.0
all_with_patch,128,478.34375,23.5,325.59999999999997,50883.0,120.4453125,2.0,28.64999999999999,8098.0,598.7890625,27.0,332.0999999999999,50885.0,13.4609375,3.0,21.54999999999994,422.0,9.1953125,2.0,9.0,487.0
resolved,41,36.26829268292683,7.0,192.0,346.0,3.3658536585365852,1.0,14.0,33.0,39.63414634146341,12.0,206.0,347.0,3.1707317073170733,2.0,9.0,14.0,1.6829268292682926,1.0,5.0,9.0
unresolved_with_patch,87,686.6781609195402,42.0,350.1000000000001,50883.0,175.6206896551724,2.0,29.700000000000003,8098.0,862.2988505747127,44.0,354.50000000000006,50885.0,18.310344827586206,3.0,25.400000000000006,422.0,12.735632183908047,2.0,9.0,487.0
patch_apply_failed,3,30.0,12.0,69.6,76.0,3.0,2.0,4.699999999999999,5.0,33.0,17.0,71.89999999999999,78.0,3.6666666666666665,2.0,6.5,7.0,2.0,2.0,2.0,2.0
