rank,folder,name,verified,oss,site,is_target,total_instances,submitted_instances,completed_instances,resolved_instances_reported,resolved_instances,resolved_out_of_index,denominator,rate,ci_lo,ci_hi
1,20260327_CodeArts-Agent_CodeArts-MiniMax-M2.5,CodeArts Agent + CodeArts-MiniMax-M2.5,False,False,https://www.huaweicloud.com/intl/zh-cn/product/codearts/ai.html,False,117,117,114,56,56,0,128,0.4375,0.3546231306495017,0.5240189889404699
2,20260131_InfCode_GPT-5.2,InfCode + GPT5.2,False,True,https://www.tokfinity.com/infcode,False,128,128,128,50,50,0,128,0.390625,0.3104701904146004,0.4771535188678498
3,20251201_iSWE_Agent,iSWE-Agent,False,False,https://github.com/multi-swe-bench/experiments/tree/main/evaluation/java/verified/20251201_iSWE_Agent/README.md,False,127,127,127,43,43,0,128,0.3359375,0.2599537722408375,0.4214817916828379
4,20260429_kozuchi-mini-swe-agent_qwen3.5-27b,kozuchi-mini-swe-agent + qwen3.5-27b xcheck@8,False,False,https://github.com/multi-swe-bench/experiments/tree/main/evaluation/java/verified/20260429_kozuchi-mini-swe-agent_qwen3.5-27b,True,128,128,128,41,41,0,128,0.3203125,0.2457302055723189,0.4053658882488494
5,20251027_iSWE-OpenModels,iSWE-OpenModels,False,True,https://github.com/multi-swe-bench/experiments/tree/main/evaluation/java/verified/20251027_iSWE-OpenModels,False,128,128,128,40,40,0,128,0.3125,0.2386553022588114,0.3972710565111033
6,20250426_MSWE-agent_Gemini-2.5-Pro,MSWE-agent + Gemini-2.5-Pro,True,True,https://github.com/multi-swe-bench/MSWE-agent,False,128,123,123,37,37,0,128,0.2890625,0.2175839971739805,0.3728331564421735
7,20260327_MSWE-Agent_CodeArts-MiniMax-M2.5,MSWE-agent + CodeArts-MiniMax-M2.5,False,False,https://www.huaweicloud.com/intl/zh-cn/product/codearts/ai.html,False,125,125,125,35,35,0,128,0.2734375,0.2036699973164811,0.3564076861971658
8,20250329_MSWE-agent_Claude-3.7-Sonnet,MSWE-agent + Claude-3.7-Sonnet,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,124,124,30,30,0,128,0.234375,0.1693935764674036,0.3148354317899755
9,20250329_MagentLess_DeepSeek-R1,MagentLess + DeepSeek-R1,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,109,109,29,29,0,128,0.2265625,0.16263248415114,0.3064267890549855
10,20250329_MSWE-agent_OpenAI-o1,MSWE-agent + OpenAI-o1,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,121,121,28,28,0,128,0.21875,0.1559052405236318,0.2979842976312402
11,20250426_MagentLess_Gemini-2.5-Pro,MagentLess + Gemini-2.5-Pro,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,107,107,28,28,0,128,0.21875,0.1559052405236318,0.2979842976312402
12,20250329_MopenHands_Claude-3.7-Sonnet,MopenHands + Claude-3.7-Sonnet,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,92,67,28,28,0,128,0.21875,0.1559052405236318,0.2979842976312402
13,20250329_MagentLess_OpenAI-o1,MagentLess + OpenAI-o1,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,115,115,27,27,0,128,0.2109375,0.1492130870890469,0.2895067160145715
14,20250329_MSWE-agent_Claude-3.5-Sonnet(Oct),MSWE-agent + Claude-3.5-Sonnet(Oct),True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,123,123,26,26,0,128,0.203125,0.1425573815300573,0.2809926865223076
15,20250329_MSWE-agent_OpenAI-o3-mini-high,MSWE-agent + OpenAI-o3-mini-high,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,120,120,21,21,0,128,0.1640625,0.1098833161077751,0.237818076688322
16,20250329_MagentLess_Claude-3.5-Sonnet(Oct),MagentLess + Claude-3.5-Sonnet(Oct),True,True,https://github.com/multi-swe-bench/MagentLess,False,128,112,112,19,19,0,128,0.1484375,0.0971346308260093,0.2202272918675807
17,20250426_MagentLess_Llama-4-Maverick,MagentLess + Llama-4-Maverick,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,119,119,19,19,0,128,0.1484375,0.0971346308260093,0.2202272918675807
18,20250329_MopenHands_Claude-3.5-Sonnet(Oct),MopenHands + Claude-3.5-Sonnet(Oct),True,True,https://github.com/multi-swe-bench/MopenHands,False,128,95,68,19,19,0,128,0.1484375,0.0971346308260093,0.2202272918675807
19,20250329_MagentLess_Claude-3.7-Sonnet,MagentLess + Claude-3.7-Sonnet,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,89,89,18,18,0,128,0.140625,0.0908396946276177,0.2113524930147187
20,20250426_MagentLess_Doubao-1.5-thinking,MagentLess + Doubao-1.5-thinking,True,True,https://github.com/multi-swe-bench/MagentLess,False,128,91,91,17,17,0,128,0.1328125,0.0846022850162593,0.2024201675748236
21,20250329_MSWE-agent_GPT-4o-1120,MSWE-agent + GPT-4o-1120,True,True, https://github.com/multi-swe-bench/MSWE-agent,False,128,120,120,16,16,0,128,0.125,0.0784264460987286,0.1934262714411007
22,20250426_MopenHands_Gemini-2.5-Pro,MopenHands + Gemini-2.5-Pro,True,True,https://github.com/multi-swe-bench/MopenHands,False,128,127,127,16,16,0,128,0.125,0.0784264460987286,0.1934262714411007
