repo,n,resolved,rate,ci_lo,ci_hi,report_valid,full_trajs,patch_apply_failures
fasterxml/jackson-databind,42,20,0.47619047619047616,0.333596011290762,0.6227753597605195,20,42,0
elastic/logstash,38,0,0.0,0.0,0.09180986954097846,7,38,0
fasterxml/jackson-core,18,8,0.4444444444444444,0.24559518003796732,0.6628358450657309,8,18,1
alibaba/fastjson2,6,4,0.6666666666666666,0.29999331299474324,0.9032285897864654,4,6,0
mockito/mockito,6,1,0.16666666666666666,0.030053369411815023,0.5635028250257673,1,6,0
google/gson,5,3,0.6,0.23072427940911855,0.8823792268590028,4,4,0
googlecontainertools/jib,5,3,0.6,0.23072427940911855,0.8823792268590028,3,5,1
fasterxml/jackson-dataformat-xml,5,1,0.2,0.03622410822563066,0.6244653729700049,1,5,0
apache/dubbo,3,1,0.3333333333333333,0.06149194402093078,0.7923404011921757,1,3,1
