bucket,n,resolved,rate,ci_lo,ci_hi
0,5,0,0.0,0.0,0.43448246865939283
1,394,302,0.766497461928934,0.722273303290325,0.8055751532041444
2,73,52,0.7123287671232876,0.599945366703901,0.8034826843939904
3-4,24,18,0.75,0.5510055583116656,0.8800063384126703
5+,4,2,0.5,0.15003898774401986,0.8499610122559802
