n_unique_patches,n_instances,selector_resolved,selector_rate,selector_rate_ci_lo,selector_rate_ci_hi,oracle_resolved,oracle_rate,regret
0,5,0,0.0,0.0,0.43448246865939283,0,0.0,0
1,47,44,0.9361702127659575,0.828373857036585,0.9780546149654928,44,0.9361702127659575,0
2,40,39,0.975,0.8711863091181636,0.9955731685462955,39,0.975,0
3,38,34,0.8947368421052632,0.7586947814426721,0.9582974268144502,36,0.9473684210526315,2
4,30,24,0.8,0.6269430343619583,0.9049489287811706,24,0.8,0
5,43,35,0.813953488372093,0.6738299621842189,0.9025824862073323,38,0.8837209302325582,3
6,59,40,0.6779661016949152,0.5510500432372328,0.7831242482868997,46,0.7796610169491526,6
7,66,47,0.7121212121212122,0.5936275049338142,0.8072805008337827,51,0.7727272727272727,4
8,172,111,0.6453488372093024,0.5713915204865778,0.7129555289413567,130,0.7558139534883721,19
