phase,group,mean_msgs,mean_giveups,mean_completes
ISSUE_REPRODUCT,resolved,78.21657754010695,0.0,1.0053475935828877
ISSUE_REPRODUCT,unresolved,86.57851239669421,0.0,1.0
TEST_SYNTHSIZE,resolved,73.47326203208556,0.0,1.0026737967914439
TEST_SYNTHSIZE,unresolved,76.15702479338843,0.0,1.0082644628099173
CODE_LOCALIZE,resolved,59.13101604278075,0.0,1.0106951871657754
CODE_LOCALIZE,unresolved,65.6694214876033,0.0,1.0330578512396693
TEST_LOCALIZE,resolved,105.27807486631016,0.0,1.0080213903743316
TEST_LOCALIZE,unresolved,108.7107438016529,0.0,1.0330578512396693
CODE_FIX,resolved,131.78877005347593,0.0053475935828877,1.4866310160427807
CODE_FIX,unresolved,169.53719008264463,0.024793388429752067,1.6446280991735538
VERIFY_PATCH,resolved,105.17379679144385,0.5187165775401069,1.4598930481283423
VERIFY_PATCH,unresolved,115.11570247933884,0.6694214876033058,1.4049586776859504
ISSUE_CLOSE,resolved,48.786096256684495,0.0,1.0106951871657754
ISSUE_CLOSE,unresolved,49.01652892561984,0.0,1.0082644628099173
FINAL_REPORT,resolved,25.005347593582886,0.0,1.0080213903743316
FINAL_REPORT,unresolved,25.322314049586776,0.0,1.0082644628099173
