leg,n_picked,pick_share,n_picked_resolves_final,pick_accuracy_final,n_picked_resolves_leg
r01_s1001,67,0.13535353535353536,52,0.7761194029850746,52
r02_s1002,69,0.1393939393939394,53,0.7681159420289855,54
r03_s1003,57,0.11515151515151516,40,0.7017543859649122,41
r04_s1004,43,0.08686868686868687,27,0.627906976744186,28
r05_s1005,62,0.12525252525252525,50,0.8064516129032258,49
r06_s1006,68,0.13737373737373737,55,0.8088235294117647,55
r07_s1007,66,0.13333333333333333,48,0.7272727272727273,47
r08_s1008,63,0.12727272727272726,49,0.7777777777777778,50
