leg,r01_s1001,r02_s1002,r03_s1003,r04_s1004,r05_s1005,r06_s1006,r07_s1007,r08_s1008
r01_s1001,1.0,0.8235294117647058,0.8279569892473119,0.8191489361702128,0.8536585365853658,0.8396739130434783,0.8346883468834688,0.8213333333333334
r02_s1002,0.8235294117647058,1.0,0.8319783197831978,0.798941798941799,0.8181818181818182,0.8042895442359249,0.7994652406417112,0.8058510638297872
r03_s1003,0.8279569892473119,0.8319783197831978,1.0,0.8176943699731903,0.842391304347826,0.8233695652173914,0.8283378746594006,0.8346883468834688
r04_s1004,0.8191489361702128,0.798941798941799,0.8176943699731903,1.0,0.8235294117647058,0.8048128342245989,0.8,0.8405405405405405
r05_s1005,0.8536585365853658,0.8181818181818182,0.842391304347826,0.8235294117647058,1.0,0.8292682926829268,0.8342391304347826,0.8111702127659575
r06_s1006,0.8396739130434783,0.8042895442359249,0.8233695652173914,0.8048128342245989,0.8292682926829268,1.0,0.8453038674033149,0.816711590296496
r07_s1007,0.8346883468834688,0.7994652406417112,0.8283378746594006,0.8,0.8342391304347826,0.8453038674033149,1.0,0.8265582655826558
r08_s1008,0.8213333333333334,0.8058510638297872,0.8346883468834688,0.8405405405405405,0.8111702127659575,0.816711590296496,0.8265582655826558,1.0
