bucket,n,resolved,rate,ci_lo,ci_hi
0 (no diff),5,0,0.0,0.0,0.43448246865939283
1-4,208,170,0.8173076923076923,0.7592015835136201,0.863905907801219
5-10,118,92,0.7796610169491526,0.6967223263419404,0.8449652125794418
11-25,77,57,0.7402597402597403,0.6325779242991111,0.8251080268454515
26-50,57,38,0.6666666666666666,0.5372251147593161,0.7750619399786336
51-100,23,12,0.5217391304347826,0.3296273720444183,0.7076284270692741
101+,12,5,0.4166666666666667,0.1932603124346072,0.6804886891575758
