instance_id,repo,resolved,rc_zero,rc_nonzero,rc_failure_rate
django__django-13512,django/django,1,195,13,0.0625
django__django-13516,django/django,1,225,11,0.046610169491525424
django__django-13551,django/django,0,190,10,0.05
django__django-13568,django/django,1,218,15,0.06437768240343347
django__django-13569,django/django,1,260,20,0.07142857142857142
django__django-13590,django/django,1,307,14,0.04361370716510903
django__django-13658,django/django,1,246,4,0.016
django__django-13670,django/django,1,169,10,0.055865921787709494
django__django-13741,django/django,1,228,14,0.05785123966942149
django__django-13786,django/django,1,235,19,0.07480314960629922
django__django-13794,django/django,1,269,20,0.06920415224913495
django__django-13807,django/django,0,216,16,0.06896551724137931
django__django-13809,django/django,1,192,8,0.04
django__django-13810,django/django,1,476,16,0.032520325203252036
django__django-13820,django/django,1,259,13,0.04779411764705882
django__django-13821,django/django,1,214,10,0.044642857142857144
django__django-13837,django/django,1,175,14,0.07407407407407407
django__django-13925,django/django,1,231,25,0.09765625
django__django-13933,django/django,1,204,6,0.02857142857142857
django__django-13964,django/django,1,260,10,0.037037037037037035
django__django-14007,django/django,1,373,15,0.03865979381443299
django__django-14011,django/django,0,266,43,0.13915857605177995
django__django-14017,django/django,1,494,27,0.05182341650671785
django__django-14034,django/django,0,226,14,0.058333333333333334
django__django-14053,django/django,1,219,9,0.039473684210526314
django__django-14089,django/django,1,171,7,0.03932584269662921
django__django-14122,django/django,1,263,13,0.04710144927536232
django__django-14140,django/django,0,217,8,0.035555555555555556
django__django-14155,django/django,0,197,14,0.06635071090047394
django__django-14170,django/django,0,640,14,0.021406727828746176
django__django-14238,django/django,1,203,10,0.046948356807511735
django__django-14311,django/django,1,177,10,0.053475935828877004
django__django-14315,django/django,0,223,9,0.03879310344827586
django__django-14349,django/django,1,204,7,0.03317535545023697
django__django-14351,django/django,1,288,23,0.07395498392282958
django__django-14373,django/django,1,157,8,0.048484848484848485
django__django-14376,django/django,0,233,14,0.05668016194331984
django__django-14404,django/django,1,228,13,0.05394190871369295
django__django-14434,django/django,1,270,15,0.05263157894736842
django__django-14493,django/django,1,210,10,0.045454545454545456
django__django-14500,django/django,1,289,21,0.06774193548387097
django__django-14534,django/django,0,256,25,0.08896797153024912
django__django-14539,django/django,1,312,38,0.10857142857142857
django__django-14559,django/django,1,226,6,0.02586206896551724
django__django-14580,django/django,1,461,31,0.06300813008130081
django__django-14608,django/django,1,539,32,0.05604203152364273
django__django-14631,django/django,1,243,24,0.0898876404494382
django__django-14672,django/django,1,341,13,0.03672316384180791
django__django-14725,django/django,0,262,16,0.05755395683453238
django__django-14752,django/django,1,211,11,0.04954954954954955
django__django-14765,django/django,1,213,9,0.04054054054054054
django__django-14771,django/django,1,188,13,0.06467661691542288
django__django-14787,django/django,1,235,18,0.07114624505928854
django__django-14792,django/django,0,248,23,0.08487084870848709
django__django-14855,django/django,1,264,21,0.07368421052631578
django__django-14915,django/django,1,186,3,0.015873015873015872
django__django-14999,django/django,1,215,11,0.048672566371681415
django__django-15022,django/django,0,637,52,0.07547169811320754
django__django-15037,django/django,0,285,20,0.06557377049180328
django__django-15098,django/django,0,433,32,0.06881720430107527
django__django-15103,django/django,1,185,4,0.021164021164021163
django__django-15104,django/django,1,218,8,0.035398230088495575
django__django-15127,django/django,0,216,5,0.02262443438914027
django__django-15128,django/django,1,318,24,0.07017543859649122
django__django-15161,django/django,1,307,19,0.05828220858895705
django__django-15252,django/django,0,718,48,0.06266318537859007
django__django-15268,django/django,1,511,23,0.04307116104868914
django__django-15277,django/django,1,216,11,0.048458149779735685
django__django-15278,django/django,1,270,8,0.02877697841726619
django__django-15280,django/django,1,340,9,0.025787965616045846
django__django-15315,django/django,1,218,14,0.0603448275862069
django__django-15368,django/django,1,240,17,0.06614785992217899
django__django-15375,django/django,1,230,13,0.053497942386831275
django__django-15380,django/django,1,246,14,0.05384615384615385
django__django-15382,django/django,1,378,18,0.045454545454545456
django__django-15467,django/django,1,263,17,0.060714285714285714
django__django-15499,django/django,1,224,9,0.03862660944206009
django__django-15503,django/django,1,336,14,0.04
django__django-15525,django/django,1,331,21,0.05965909090909091
django__django-15554,django/django,1,322,19,0.05571847507331378
django__django-15561,django/django,0,779,24,0.029887920298879204
django__django-15563,django/django,1,560,36,0.06040268456375839
django__django-15569,django/django,1,269,14,0.04946996466431095
django__django-15572,django/django,1,240,11,0.043824701195219126
django__django-15629,django/django,0,767,49,0.06004901960784314
django__django-15695,django/django,0,237,15,0.05952380952380952
django__django-15731,django/django,1,283,14,0.04713804713804714
django__django-15732,django/django,1,244,6,0.024
django__django-15741,django/django,1,229,7,0.029661016949152543
django__django-15814,django/django,1,256,13,0.048327137546468404
django__django-15851,django/django,1,210,6,0.027777777777777776
django__django-15863,django/django,1,212,5,0.02304147465437788
django__django-15916,django/django,1,276,31,0.10097719869706841
django__django-15930,django/django,1,261,13,0.04744525547445255
django__django-15957,django/django,1,317,32,0.09169054441260745
django__django-15973,django/django,0,323,22,0.06376811594202898
django__django-15987,django/django,1,194,10,0.049019607843137254
django__django-16032,django/django,1,287,10,0.03367003367003367
django__django-16082,django/django,1,236,11,0.044534412955465584
django__django-16100,django/django,1,261,10,0.03690036900369004
django__django-16116,django/django,1,285,32,0.10094637223974763
django__django-16136,django/django,1,192,4,0.02040816326530612
django__django-16139,django/django,1,268,11,0.03942652329749104
django__django-16145,django/django,1,201,5,0.024271844660194174
django__django-16255,django/django,1,205,6,0.02843601895734597
django__django-16256,django/django,0,538,31,0.054481546572934976
django__django-16263,django/django,0,387,23,0.05609756097560976
django__django-16315,django/django,1,220,15,0.06382978723404255
django__django-16333,django/django,1,263,29,0.09931506849315068
django__django-16429,django/django,1,174,8,0.04395604395604396
django__django-16454,django/django,0,309,13,0.040372670807453416
django__django-16485,django/django,1,184,6,0.031578947368421054
django__django-16493,django/django,1,219,12,0.05194805194805195
django__django-16502,django/django,0,220,7,0.030837004405286344
django__django-16527,django/django,1,284,27,0.08681672025723473
django__django-16560,django/django,0,244,22,0.08270676691729323
django__django-16569,django/django,1,206,14,0.06363636363636363
django__django-16595,django/django,1,207,6,0.028169014084507043
django__django-16612,django/django,1,277,10,0.03484320557491289
django__django-16631,django/django,0,468,23,0.04684317718940937
django__django-16642,django/django,1,184,11,0.05641025641025641
django__django-16661,django/django,1,404,63,0.1349036402569593
django__django-16662,django/django,1,278,15,0.051194539249146756
django__django-16667,django/django,0,197,6,0.029556650246305417
django__django-16801,django/django,1,211,6,0.027649769585253458
django__django-16819,django/django,1,225,6,0.025974025974025976
django__django-16877,django/django,0,194,9,0.04433497536945813
django__django-16899,django/django,1,227,11,0.046218487394957986
django__django-16901,django/django,1,218,11,0.048034934497816595
django__django-16938,django/django,1,528,67,0.11260504201680673
django__django-16950,django/django,1,335,18,0.05099150141643059
django__django-17029,django/django,1,199,11,0.05238095238095238
django__django-17084,django/django,1,315,12,0.03669724770642202
django__django-17087,django/django,1,252,10,0.03816793893129771
django__django-9296,django/django,1,229,5,0.021367521367521368
matplotlib__matplotlib-13989,matplotlib/matplotlib,1,222,9,0.03896103896103896
matplotlib__matplotlib-14623,matplotlib/matplotlib,1,236,5,0.02074688796680498
matplotlib__matplotlib-20488,matplotlib/matplotlib,1,383,28,0.0681265206812652
matplotlib__matplotlib-20676,matplotlib/matplotlib,0,354,13,0.035422343324250684
matplotlib__matplotlib-20826,matplotlib/matplotlib,1,266,5,0.01845018450184502
matplotlib__matplotlib-20859,matplotlib/matplotlib,1,228,13,0.05394190871369295
matplotlib__matplotlib-21568,matplotlib/matplotlib,0,214,15,0.06550218340611354
matplotlib__matplotlib-22719,matplotlib/matplotlib,1,169,0,0.0
matplotlib__matplotlib-22865,matplotlib/matplotlib,0,218,21,0.08786610878661087
matplotlib__matplotlib-22871,matplotlib/matplotlib,0,231,21,0.08333333333333333
matplotlib__matplotlib-23299,matplotlib/matplotlib,0,339,18,0.05042016806722689
matplotlib__matplotlib-23314,matplotlib/matplotlib,1,238,12,0.048
matplotlib__matplotlib-23412,matplotlib/matplotlib,1,335,10,0.028985507246376812
matplotlib__matplotlib-23476,matplotlib/matplotlib,0,252,13,0.04905660377358491
matplotlib__matplotlib-24026,matplotlib/matplotlib,1,195,8,0.03940886699507389
matplotlib__matplotlib-24149,matplotlib/matplotlib,1,196,4,0.02
matplotlib__matplotlib-24177,matplotlib/matplotlib,1,378,23,0.057356608478802994
matplotlib__matplotlib-24570,matplotlib/matplotlib,1,328,14,0.04093567251461988
matplotlib__matplotlib-24627,matplotlib/matplotlib,1,264,10,0.0364963503649635
matplotlib__matplotlib-24637,matplotlib/matplotlib,1,364,16,0.042105263157894736
matplotlib__matplotlib-24870,matplotlib/matplotlib,0,222,15,0.06329113924050633
matplotlib__matplotlib-24970,matplotlib/matplotlib,1,194,4,0.020202020202020204
matplotlib__matplotlib-25122,matplotlib/matplotlib,1,813,16,0.019300361881785282
matplotlib__matplotlib-25287,matplotlib/matplotlib,1,196,2,0.010101010101010102
matplotlib__matplotlib-25311,matplotlib/matplotlib,1,428,27,0.05934065934065934
matplotlib__matplotlib-25332,matplotlib/matplotlib,1,306,10,0.03164556962025317
matplotlib__matplotlib-25479,matplotlib/matplotlib,0,249,10,0.03861003861003861
matplotlib__matplotlib-25775,matplotlib/matplotlib,0,318,5,0.015479876160990712
matplotlib__matplotlib-25960,matplotlib/matplotlib,1,270,15,0.05263157894736842
matplotlib__matplotlib-26113,matplotlib/matplotlib,1,199,4,0.019704433497536946
matplotlib__matplotlib-26208,matplotlib/matplotlib,0,271,13,0.045774647887323945
matplotlib__matplotlib-26291,matplotlib/matplotlib,1,254,5,0.019305019305019305
matplotlib__matplotlib-26342,matplotlib/matplotlib,1,211,12,0.053811659192825115
matplotlib__matplotlib-26466,matplotlib/matplotlib,0,212,6,0.027522935779816515
mwaskom__seaborn-3069,mwaskom/seaborn,1,564,47,0.07692307692307693
mwaskom__seaborn-3187,mwaskom/seaborn,0,249,15,0.056818181818181816
pallets__flask-5014,pallets/flask,1,182,3,0.016216216216216217
psf__requests-1142,psf/requests,1,242,10,0.03968253968253968
psf__requests-1724,psf/requests,1,211,11,0.04954954954954955
psf__requests-1766,psf/requests,1,172,7,0.03910614525139665
psf__requests-1921,psf/requests,1,191,13,0.06372549019607843
psf__requests-2317,psf/requests,1,262,21,0.07420494699646643
