bucket,n,resolved,rate,ci_lo,ci_hi
<200,0,0,0.0,0.0,0.0
200-399,88,75,0.8522727272727273,0.7634888944767619,0.9115874899275218
400-599,273,202,0.73992673992674,0.6848160586425889,0.7883789625416122
600-899,91,69,0.7582417582417582,0.6609819018281624,0.834581963957848
900-1299,27,20,0.7407407407407407,0.5532142853130517,0.8682962550940991
1300+,16,8,0.5,0.27999563470387406,0.7200043652961259
