k,expected_resolved,expected_rate
1,338.625,0.67725
2,371.4285714285717,0.7428571428571433
3,384.9642857142858,0.7699285714285715
4,393.2857142857142,0.7865714285714285
5,398.9107142857142,0.7978214285714285
6,402.85714285714295,0.8057142857142859
7,405.75,0.8115
8,408.0,0.816
