phase,share_of_messages,mean_msgs_per_instance,mean_steps_visited,total_complete,total_giveup,rework_factor
ISSUE_REPRODUCT,0.12467050760656725,80.26060606060607,9.991919191919193,497,0,0.00404040404040404
TEST_SYNTHSIZE,0.1151466084249636,74.12929292929293,8.997979797979799,497,0,0.00404040404040404
CODE_LOCALIZE,0.09433210322839786,60.72929292929293,8.953535353535354,503,0,0.01616161616161616
TEST_LOCALIZE,0.16483406135462167,106.11717171717171,10.995959595959595,502,0,0.014141414141414142
CODE_FIX,0.21904340513129486,141.0161616161616,8.97979797979798,755,5,0.5252525252525253
VERIFY_PATCH,0.1671436461314455,107.6040404040404,8.012121212121212,716,275,0.44646464646464645
ISSUE_CLOSE,0.07586797710498569,48.842424242424244,8.985858585858585,500,0,0.010101010101010102
FINAL_REPORT,0.03896169101772355,25.082828282828284,4.01010101010101,499,0,0.00808080808080808
