bucket,n,resolved,rate,ci_lo,ci_hi,report_valid
0 (no diff),1,0,0.0,0.0,0.7934506882081973,0
1-5,21,12,0.5714285714285714,0.36546554224185784,0.7553003119028359,14
6-15,22,10,0.45454545454545453,0.2692029406072818,0.6534020481750042,13
16-50,37,13,0.35135135135135137,0.21825607047859202,0.5124097700348178,14
51-150,25,3,0.12,0.04166817117905039,0.2995579409188468,4
151-500,19,3,0.15789473684210525,0.055204715953508426,0.3756547546451403,4
501+,3,0,0.0,0.0,0.5614970356393196,0
