bucket,n,resolved,rate,ci_lo,ci_hi,report_valid
0,1,0,0.0,0.0,0.7934506882081973,0
1,60,29,0.48333333333333334,0.36175049450337826,0.6069219005977627,35
2,30,6,0.2,0.09505107121882947,0.3730569656380418,7
3-5,24,5,0.20833333333333334,0.0924482529436571,0.40470453421128416,6
6+,13,1,0.07692307692307693,0.013710421090225994,0.333139511713605,1
